stnname,country_left,country_right
14S,FRA,FRA
15,$FR,$FR
15,FRA,FRA
1 de Saints à Limosin,FRA,FRA
1er Cours des Capucins,FRA,FRA
1er Cours du Serrurier,FRA,FRA
1ère Cour J. Ferret,FRA,FRA
1ère Impasse Chemin Saint-Clair,FRA,FRA
1ère Impasse Paul-Louis Courier,FRA,FRA
1ère Impasse Pierre Curie,FRA,FRAFRA_UnmatchedName_In_Orbis.csv
1er Sentier des Huleux,FRA,FRA
1er Sentier des Parouzets,FRA,FRA
20 Avenue du Sud,FRA,FRA
2ème Cour J. Ferret,FRA,FRA
2ème Impasse de la Croze,FRA,FRA
2ème Impasse des Chaumottes,FRA,FRA
2ème Impasse du Glacis,FRA,FRA
2ème Impasse Goubermoulins,FRA,FRA
2ème Impasse Maleroubine,FRA,FRA
2ème Impasse Paul-Louis Courier,FRA,FRA
2ème Impasse Rue du Midi,FRA,FRA
2ème Sentier des Batêtes et des Coutures,FRA,FRA
2ème Sentier des Minimes,FRA,FRA
2ème Sentier des Plantes,FRA,FRA
3 Cornes,FRA,FRA
3ème Sentier des Hatons,FRA,FRA
3ème Sentier des Parouzets,FRA,FRA
3ème Sentier des Plantes,FRA,FRA
4ème Sentier des Plantes,FRA,FRA
5ème Côte sous Fraize,FRA,FRA
5ème Sentier des Plantes,FRA,FRA
85ème Avenue,FRA,FRA
8 Mai 1945,FRA,FRA
À Balcona,FRA,FRA
Abanie,FRA,FRA
Abaratia,FRA,FRA
À Barbuscan,FRA,FRA
À Barnier,FRA,FRA
À Barrière,FRA,FRA
À Barthe,FRA,FRA
Abattoirs,FRA,FRA
Abbaye Cistercienne de Quincy,FRA,FRA
Abbaye de Boisset Est,FRA,FRA
Abbaye de Boisset Ouest,FRA,FRA
Abbaye de Chavais,FRA,FRA
Abbaye de Cornilly,FRA,FRA
Abbaye de Notre-Dame du Pré,FRA,FRA
Abbaye d'Hérivaux,FRA,FRA
Abbaye Jarnot,FRA,FRA
À Bellevue,FRA,FRA
À Benque,FRA,FRA
Abense,FRA,FRA
À Berdoy,FRA,FRA
À Besse,FRA,FRA
Abesseng de Catderot,FRA,FRA
Abessenq de Fissard,FRA,FRA
Abessens de la Serre,FRA,FRA
À Betranon,FRA,FRA
À Bhulmont,FRA,FRA
À Bidou,FRA,FRA
À Bidou 1,FRA,FRA
À Bidou 2,FRA,FRA
À Blanc,FRA,FRA
À Boiseau,FRA,FRA
À Boissec,FRA,FRA
À Boisset,FRA,FRA
Abondant,FRA,FRA
À Bordieu Nord,FRA,FRA
À Bouchet,FRA,FRA
À Boujac,FRA,FRA
À Boyer Naout,FRA,FRA
À Bramepan,FRA,FRA
Abregauds-Nord,FRA,FRA
À Brens,FRA,FRA
Abrigny,FRA,FRA
À Brit,FRA,FRA
À Brizard,FRA,FRA
À Cabiro,FRA,FRA
À Calanca,FRA,FRA
À Cardonne,FRA,FRA
À Carré,FRA,FRA
À Casse Cailloux,FRA,FRA
Accès 5 Port Autonome,FRA,FRA
Accès 6 Port Autonome,FRA,FRA
Accès à la Résidence Domaine Heracles,FRA,FRA
Accès Étang du Coiroux,FRA,FRA
Accès Forêt,FRA,FRA
Acceto Résidence,FRA,FRA
Accolay,FRA,FRA
À Celerier,FRA,FRA
À Chabanne,FRA,FRA
À Chabot,FRA,FRA
À Champie,FRA,FRA
À Chapoux Nord,FRA,FRA
À Chaulant Ouest,FRA,FRA
Ache,FRA,FRA
Aciers d'Allevard,FRA,FRA
Ackaert Drève,FRA,FRA
Aco d'Astie,FRA,FRA
Aco de Pommier,FRA,FRA
À Cohite,FRA,FRA
À Colombie Est,FRA,FRA
À Combe Longue Est,FRA,FRA
À Commegeille,FRA,FRA
À Coquille,FRA,FRA
À Côte des Moulins,FRA,FRA
À Couise,FRA,FRA
À Coulisson,FRA,FRA
À Courdele,FRA,FRA
À Cousinet,FRA,FRA
Acqua in Giu,FRA,FRA
À Croix,FRA,FRA
Aculaghia,FRA,FRA
À Curtet,FRA,FRA
À Darriet Ouest,FRA,FRA
Ad Buch,FRA,FRA
À Denis,FRA,FRA
À Diodet,FRA,FRA
À Dispensa,FRA,FRA
Adoue,FRA,FRA
Ad Peyrouton,FRA,FRA
Adrech du Peyron,FRA,FRA
À Dumon,FRA,FRA
À Empradaou,FRA,FRA
À Engachies,FRA,FRA
À Enguilhem,FRA,FRA
Aérodrome de Beausoleil,FRA,FRA
Aérodrome de Biscarrosse-Parentis,FRA,FRA
Aérodrome de Flers Saint-Paul,FRA,FRA
Aérodrome de Fougueyrolles,FRA,FRA
Aérodrome de Gap-Tallard,FRA,FRA
Aérodrome de Mondésir,FRA,FRA
Aérodrome de Moulins-Montbeugny,FRA,FRA
Aérodrome de Roumanière,FRA,FRA
Aérodrome Toussus-le-Noble,FRA,FRA
À Fafur,FRA,FRA
Affacatojo,FRA,FRA
Affaccatojo,FRA,FRA
À Fitou,FRA,FRA
À Fongalan,FRA,FRA
À Fortunon,FRA,FRA
À Fouasse,FRA,FRA
À Fourmigue,FRA,FRA
À Gabot,FRA,FRA
À Gamot Sud,FRA,FRA
Agay - Saint-Tropez,$FR,$FR
Aghia Trève,FRA,FRA
À Gibalta,FRA,FRA
Agizoux,FRA,FRA
Agliani,FRA,FRA
Agna,FRA,FRA
Agniénéa,FRA,FRA
Agnos,FRA,FRA
À Goraty,FRA,FRA
Agorretako Bidea,FRA,FRA
Agouan,FRA,FRA
Agouaou,FRA,FRA
Agouille del Camp,FRA,FRA
À Gourdon,FRA,FRA
À Goutte Forêt,FRA,FRA
Agré,FRA,FRA
Agrés Naout,FRA,FRA
À Grinde,FRA,FRA
À Grozeille,FRA,FRA
Aguénéac,FRA,FRA
Agueret Altia,FRA,FRA
Aguerre,FRA,FRA
Agugnac,FRA,FRA
À Guinlette,FRA,FRA
Ahaice Co Mendia Est,FRA,FRA
À Hauterives,FRA,FRA
Ahaxe Chilo,FRA,FRA
À Hors,FRA,FRA
À Hourton,FRA,FRA
Ahunce,FRA,FRA
Aigneaux,FRA,FRA
Aigo Puto,FRA,FRA
Aigueventade,FRA,FRA
Aigue Vive,FRA,FRA
Aiguille-Ouest,FRA,FRA
Aillan Nord,FRA,FRA
Aillas le Vieux,FRA,FRA
